,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-23,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-28,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-09,2021-07-12,2021-07-16,2021-07-19,2021-07-23,2021-07-26,2021-07-30,2021-08-02,2021-08-06,2021-08-09,2021-08-13,2021-08-16,2021-08-20,2021-08-23,2021-08-27,2021-08-30,2021-09-03,2021-09-10,2021-09-13,2021-09-17,2021-09-20,2021-09-24,2021-09-27
AVAV,62.97,63.7,71.14,71.22,75.0,75.49,77.51,76.48,76.36,76.9,76.7,80.07,81.22,82.07,83.3,84.18,86.66,86.02,90.47,90.99,83.9,84.4,86.13,85.56,89.56,87.2,92.69,91.67,116.64,133.25,138.13,114.77,120.04,122.67,124.94,136.59,127.3,126.4,110.08,112.96,105.42,106.19,121.68,121.68,119.46,121.12,118.81,118.32,126.76,113.18,113.5,108.4,107.36,111.46,111.22,110.37,110.35,109.45,110.4,107.28,105.96,108.06,108.49,109.63,111.34,112.15,112.49,112.62,109.81,110.52,111.61,111.67,97.69,99.34,99.34,94.16,92.4,96.4,96.81,101.1,101.85,104.99,105.14,100.87,100.03,99.51,100.76,103.44,104.54,103.86,93.85,94.04,86.25,84.88,84.22,84.44
AXON,91.55,92.22,98.99,99.72,109.16,109.78,102.91,102.0,98.9,99.67,122.59,126.51,120.98,122.1,124.81,126.29,125.55,126.89,124.18,124.99,123.12,124.5,125.34,126.12,132.5,123.01,125.36,125.18,150.77,170.26,173.46,164.16,167.13,177.18,180.0,195.54,177.0,177.15,165.49,170.74,143.04,143.08,152.26,153.26,144.75,146.78,137.82,137.49,146.2,149.42,149.16,152.74,150.5,153.94,154.65,151.61,152.26,134.74,132.84,132.76,130.75,127.07,128.81,140.59,141.16,141.13,157.44,158.49,156.85,157.44,172.18,174.14,177.79,178.29,178.95,173.76,170.77,183.03,183.3,186.02,186.8,192.59,191.83,185.14,183.4,186.83,187.26,187.01,187.86,184.89,179.81,180.0,172.38,169.91,179.75,178.9
BA,168.08,169.49,167.33,167.75,167.35,169.09,167.36,164.95,144.39,145.75,157.74,179.0,187.11,194.56,199.62,203.24,216.5,215.7,232.71,238.5,230.33,235.0,219.75,212.34,218.19,210.0,209.9,203.03,204.32,205.84,203.27,194.19,196.0,207.93,209.55,210.98,217.47,211.89,212.01,219.6,223.22,226.67,269.19,274.15,255.82,255.82,244.87,251.3,256.56,252.36,250.57,248.18,247.0,238.38,240.24,234.31,234.11,235.47,236.84,228.47,226.24,234.82,235.14,247.02,249.92,251.5,247.28,246.44,237.35,238.66,248.38,244.73,236.68,239.59,237.99,217.74,211.18,221.52,220.0,226.48,227.19,231.33,229.0,234.46,231.9,212.67,215.83,221.75,222.35,218.17,210.3,211.35,213.36,210.81,221.39,224.0
BAESY,25.95,25.95,26.17,25.8,25.05,25.33,24.25,24.19,20.88,21.32,22.98,23.98,25.22,25.51,28.1,28.61,27.38,27.41,28.64,28.28,27.03,27.46,27.13,26.0,27.96,27.8,27.46,26.98,27.12,26.49,26.02,25.63,25.88,26.24,26.32,26.87,26.08,26.14,27.3,27.65,27.37,27.32,28.33,28.51,27.37,27.1,27.51,27.76,28.59,28.57,28.04,29.02,29.15,27.75,27.75,28.15,28.1,28.68,28.78,29.81,29.73,29.63,29.63,29.9,30.26,30.52,30.62,30.58,30.0,29.96,30.04,29.75,29.43,30.17,30.11,29.88,29.32,30.51,30.65,32.32,32.57,32.27,31.98,32.49,32.35,31.67,31.65,31.73,31.27,31.56,30.71,30.78,30.95,30.73,30.95,31.37
CW,95.48,96.82,97.83,97.83,96.89,97.18,94.29,93.01,84.36,86.02,95.84,105.69,107.23,110.05,111.65,112.99,120.45,120.09,121.35,120.51,115.84,117.73,112.75,110.01,114.23,116.6,116.99,115.26,116.01,114.03,113.21,103.79,104.93,112.72,113.29,115.51,117.19,116.2,110.49,112.92,118.33,119.01,123.92,123.66,119.3,119.07,118.41,117.82,120.59,124.85,125.0,125.54,125.9,125.42,126.05,127.9,128.78,132.49,132.64,127.87,126.8,126.49,127.33,125.32,125.69,125.75,128.47,128.15,120.27,121.17,122.08,118.72,121.03,121.83,120.48,115.91,113.47,116.78,116.82,118.3,118.73,120.65,120.08,120.88,120.12,117.6,118.48,123.06,123.42,118.88,113.41,114.54,123.33,121.23,125.05,126.05
GD,140.49,141.98,143.66,144.8,142.24,142.25,140.7,139.26,131.33,133.37,139.32,147.18,151.15,153.83,148.36,148.99,152.06,151.01,156.04,154.95,151.33,152.86,152.67,150.01,149.2,149.26,150.77,150.25,153.17,152.77,151.82,146.68,147.42,158.82,159.0,164.83,164.78,164.45,163.47,165.0,170.52,171.79,176.29,176.5,177.62,177.52,181.54,181.82,182.2,183.0,183.45,184.47,184.44,186.48,187.51,190.23,190.99,194.82,195.48,191.94,191.1,189.88,190.71,189.91,193.57,193.93,191.49,191.0,185.15,186.79,189.81,190.06,188.54,190.22,189.51,189.28,187.17,191.86,191.25,196.03,196.8,199.08,198.4,198.37,198.19,197.3,198.08,199.72,199.93,202.46,201.6,202.34,195.12,194.0,197.42,198.16
HEI,106.1,107.55,111.66,111.71,112.7,113.24,114.08,112.55,105.05,106.5,115.0,122.67,130.07,134.5,127.98,128.77,127.06,126.5,132.85,133.9,131.86,133.02,133.09,129.79,131.93,132.48,138.5,136.02,135.06,128.7,128.39,117.74,119.4,128.97,129.77,128.54,132.16,130.42,125.78,128.45,123.33,124.66,130.7,131.23,125.26,125.0,123.46,123.55,128.75,131.34,130.94,135.46,135.28,139.2,140.47,140.8,141.93,141.63,142.5,136.48,135.28,133.33,134.86,140.46,146.79,147.0,143.34,142.61,137.92,139.23,142.77,141.96,141.7,142.2,141.05,134.5,131.91,135.99,135.07,135.25,136.26,132.43,131.97,131.02,130.26,127.28,127.94,127.9,128.14,124.44,124.42,125.78,127.25,125.11,134.7,135.73
HII,144.13,146.11,149.98,149.98,148.0,148.43,152.82,151.45,147.48,149.43,152.72,160.0,164.01,165.27,158.74,160.1,164.53,163.2,167.69,167.4,177.7,179.0,169.62,166.87,166.37,169.64,169.09,167.76,171.47,167.64,167.09,157.33,158.01,163.9,165.15,176.13,182.13,183.14,175.91,178.08,185.61,187.89,195.09,195.7,197.26,196.54,203.16,203.4,206.18,206.87,207.63,208.06,209.14,206.13,207.36,212.32,213.21,216.99,218.96,216.21,216.46,213.67,214.56,216.21,222.25,222.37,221.0,221.0,207.18,208.68,213.28,212.7,211.97,206.22,204.45,200.74,197.9,203.75,204.12,205.13,205.78,205.58,204.63,205.94,205.0,202.73,204.11,206.99,207.01,203.17,198.18,200.0,194.99,192.47,195.37,196.94
LDOS,90.39,90.64,90.87,91.14,87.83,88.02,85.8,85.13,83.0,84.95,90.47,94.37,98.47,99.2,100.37,100.28,102.28,101.68,104.81,103.78,105.42,105.49,105.67,104.23,104.91,105.05,104.66,105.5,107.16,112.05,111.81,106.06,107.05,106.76,107.36,107.8,103.76,103.55,88.45,89.69,90.72,90.81,94.93,94.92,94.95,94.6,96.2,96.19,99.18,100.66,100.66,101.21,101.48,100.66,100.86,101.28,101.81,104.03,104.46,103.38,102.82,102.74,103.02,102.75,104.27,104.39,106.89,106.34,103.44,104.17,103.21,103.35,102.56,104.84,104.17,106.28,105.47,106.42,106.0,106.42,106.88,94.38,94.02,95.64,96.22,96.31,96.4,98.21,98.22,99.02,97.24,97.55,91.81,90.5,94.75,94.86
LMT,380.58,383.24,385.93,386.0,386.5,387.24,374.33,369.43,350.13,356.12,361.27,379.6,375.14,378.05,368.02,371.54,374.34,370.79,366.61,366.9,361.71,363.5,356.03,353.16,353.11,354.98,336.1,335.0,347.27,339.88,339.36,321.82,324.88,337.04,339.01,337.73,335.42,333.8,330.25,334.0,340.43,343.5,340.19,344.38,355.07,352.0,364.71,365.0,372.06,386.23,387.13,391.81,392.0,377.29,374.28,380.56,379.77,390.34,391.36,390.78,389.63,387.22,389.5,382.2,394.1,395.04,387.72,387.61,379.19,381.23,382.01,381.67,381.49,383.11,381.9,377.14,375.15,380.77,373.0,371.67,372.3,362.05,360.7,357.98,357.98,357.17,357.94,361.99,362.25,356.0,345.88,347.91,340.98,338.7,349.52,352.14
